person_id	type	persName	Qualité	Année de naissance	Année de décès	note type=def	note type=Mariette	BNF_URL	data.bnf_URL	IdRéf_URL	VIAF_URL	Wikidata_URL
CoEg_pers_00000012	myth	Seth	Dieu égyptien				Mariette utilise la désignation grecque « Typhon » (cf. Rougé (de), Emmanuel, Notice sommaire des monuments égyptiens exposés dans les galeries du musée du Louvre, Paris, Simon Raçon et Cie, 1855, p. 59, https://bibliotheque-numerique.inha.fr/idviewer/12321/59)	https://catalogue.bnf.fr/ark:/12148/cb16717847z	https://data.bnf.fr/ark:/12148/cb16717847z	https://www.idref.fr/131833847	https://viaf.org/viaf/15612609	https://www.wikidata.org/wiki/Q188931
CoEg_pers_00000013	hist	Nectanébo Ier	Roi égyptien			(XXXe dynastie)				https://www.idref.fr/188528911	http://viaf.org/viaf/838144647709934922455	https://www.wikidata.org/wiki/Q175775
CoEg_pers_00000014	contemp	Lafuente					Mandaté par Anastasi pour vendre sa collection					
CoEg_pers_00000015	contemp	Anastasi, Giovanni	Marchand et antiquaire	1765	1860		Mariette utilise la formes « D’Anastasy »	https://catalogue.bnf.fr/ark:/12148/cb127360717	https://data.bnf.fr/ark:/12148/cb127360717		http://viaf.org/viaf/32737566	https://www.wikidata.org/wiki/Q5563656
CoEg_pers_00000016	contemp	Abbas Pacha	Vice-roi d'Égypte	1813	1854					https://www.idref.fr/191464740	https://viaf.org/viaf/88533334	https://www.wikidata.org/wiki/Q305882
CoEg_pers_00000017	contemp	Méhémet Ali	Vice-roi d'Égypte	1769	1849			https://catalogue.bnf.fr/ark:/12148/cb11969320q	https://data.bnf.fr/ark:/12148/cb11969320q 	https://www.idref.fr/161593585	https://viaf.org/viaf/29512610	https://www.wikidata.org/wiki/Q182781
CoEg_pers_00000018	contemp	Murray, Charles	Diplomate	1806	1895	Consul britannique en Égypte de 1846 à 1853		https://catalogue.bnf.fr/ark:/12148/cb12443225k	https://data.bnf.fr/ark:/12148/cb12443225k		https://viaf.org/viaf/22486983	https://www.wikidata.org/wiki/Q1063616
CoEg_pers_00000019	contemp	Linant de Bellefonds [Pacha], Louis Maurice Adolphe	Ingénieur	1798	1883			https://catalogue.bnf.fr/ark:/12148/cb124342933	https://data.bnf.fr/ark:/12148/cb124342933	https://www.idref.fr/033481059	https://viaf.org/viaf/73944857	https://www.wikidata.org/wiki/Q960740
CoEg_pers_00000020	contemp	Lambert [Bey], Charles Joseph	Ingénieur	1804	1864			https://catalogue.bnf.fr/ark:/12148/cb15366179m	https://data.bnf.fr/ark:/12148/cb15366179m		https://viaf.org/viaf/29834163	https://www.wikidata.org/wiki/Q18744680
CoEg_pers_00000021	contemp	Clot [Bey], Antoine	Médecin	1793	1868			https://catalogue.bnf.fr/ark:/12148/cb123565313	https://data.bnf.fr/ark:/12148/cb123565313	https://www.idref.fr/031474055	https://viaf.org/viaf/81980325	https://www.wikidata.org/wiki/Q2372786
CoEg_pers_00000022	contemp	Varin [Bey], Noël	Officier militaire	1784	1863							
CoEg_pers_00000023	contemp	Walker [Bey]				Boulanger britannique d'Abbas Pacha						
CoEg_pers_00000024	contemp	Le Moyne	Diplomate			Consul général et agent de France en Égypte ; remplacé par Sabatier à l'été 1852						
CoEg_pers_00000025	contemp	Benedetti, Vincent	Diplomate	1817	1900	Gendre d’Anastasi		https://catalogue.bnf.fr/ark:/12148/cb13743825w	https://data.bnf.fr/ark:/12148/cb13743825w	https://www.idref.fr/055674976	http://viaf.org/viaf/10026659	https://www.wikidata.org/wiki/Q1350848
CoEg_pers_00000026	hist	Ramsès II	Roi égyptien			(XIXe dynastie)		https://catalogue.bnf.fr/ark:/12148/cb11952902j	https://data.bnf.fr/ark:/12148/cb11952902j	http://www.idref.fr/027503658	https://viaf.org/viaf/25851094/	https://www.wikidata.org/wiki/Q1523
CoEg_pers_00000027	contemp	Batissier, Louis		1813	1882	Vice-consul de France à Suez entre 1848 et 1861		https://catalogue.bnf.fr/ark:/12148/cb13777288q	https://data.bnf.fr/ark:/12148/cb13777288q		http://viaf.org/viaf/107598696	http://wikidata.org/entity/Q52149686
CoEg_pers_00000028	contemp	Safar-Pacha				Moudir de Giza						
CoEg_pers_00000029	contemp	Stéphan Bey	Homme d'État			Ministre égyptien des Affaires étrangères						
CoEg_pers_00000030	hist	Cambyse II	Roi perse							https://www.idref.fr/123252385	https://viaf.org/viaf/57990573/	https://www.wikidata.org/wiki/Q182483
CoEg_pers_00000031	hist	Diodore de Sicile	Historien grec			(Ier siècle avant notre ère)		https://catalogue.bnf.fr/ark:/12148/cb11900233c	https://data.bnf.fr/ark:/12148/cb11900233c	https://www.idref.fr/026832682	https://viaf.org/viaf/56608763	https://www.wikidata.org/wiki/Q171241
CoEg_pers_00000032	contemp	Rougé (de), Emmanuel	Égyptologue	1811	1872			https://catalogue.bnf.fr/ark:/12148/cb123351571	https://data.bnf.fr/ark:/12148/cb123351571	https://www.idref.fr/032294190	https://viaf.org/viaf/22213246	https://www.wikidata.org/wiki/Q2087467
CoEg_pers_00000033	contemp	Longpérier (de), Adrien	Archéologue	1816	1882			https://catalogue.bnf.fr/ark:/12148/cb12568704s	https://data.bnf.fr/ark:/12148/cb12568704s	https://www.idref.fr/07070631X	https://viaf.org/viaf/12424536	https://www.wikidata.org/wiki/Q127218
CoEg_pers_00000034	contemp	Viel-Castel (de), Horace	Historien d'art	1802	1864			https://catalogue.bnf.fr/ark:/12148/cb12644947d	https://data.bnf.fr/ark:/12148/cb12644947d	https://www.idref.fr/027184501	https://viaf.org/viaf/69051610	https://www.wikidata.org/wiki/Q3140481
CoEg_pers_00000035	contemp	Villot, Frédéric	Graveur et historien d'art	1809	1875			https://catalogue.bnf.fr/ark:/12148/cb12951365p	https://data.bnf.fr/ark:/12148/cb12951365p	https://www.idref.fr/032393725	https://viaf.org/viaf/24733526	https://www.wikidata.org/wiki/Q3090265
CoEg_pers_00000036	myth	Dieu										https://www.wikidata.org/wiki/Q190
CoEg_pers_00000037	contemp	Victor Fialin de Persigny	Homme d'État	1808	1872	Ministre français de l’Intérieur de 1852 à 1854	Les Beaux-Arts dépendaient de son portefeuille jusqu'à la fin de 1852, ainsi que la mission confiée à Mariette en Égypte en 1850	https://catalogue.bnf.fr/ark:/12148/cb10722665h	https://data.bnf.fr/ark:/12148/cb10722665h	https://www.idref.fr/079940234	https://viaf.org/viaf/19923190	https://www.wikidata.org/wiki/Q3174556
CoEg_pers_00000038	contemp	Boujon					Chargé des transports pour le gouvernement français					
CoEg_pers_00000039	contemp	Verrier					Chargé des transports pour le gouvernement français					
CoEg_pers_00000040	contemp	Sabatier	Diplomate			Consul général de France en Égypte ; succède à Le Moyne au cours de l'été 1852						
CoEg_pers_00000041	contemp	Drouyn de Lhuys, Édouard	Homme d'État	1805	1881	Ministre français des Affaires étrangères entre 1852 et 1855		https://catalogue.bnf.fr/ark:/12148/cb13069509g	https://data.bnf.fr/ark:/12148/cb13069509g	https://www.idref.fr/093719345	https://viaf.org/viaf/17525718	https://www.wikidata.org/wiki/Q274294
